"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station"
1,2013,3,1,0,7,7,3,2,100,91,-2.3,1020.3,-20.7,0,"WNW",3.1,"Huairou"
2,2013,3,1,1,4,4,3,NA,100,92,-2.7,1020.8,-20.5,0,"NNW",1.5,"Huairou"
3,2013,3,1,2,4,4,NA,NA,100,91,-3.2,1020.6,-21.4,0,"NW",1.8,"Huairou"
4,2013,3,1,3,3,3,3,2,NA,NA,-3.3,1021.3,-23.7,0,"NNW",2.4,"Huairou"
5,2013,3,1,4,3,3,7,NA,300,86,-4.1,1022.1,-22.7,0,"NNW",2.2,"Huairou"
6,2013,3,1,5,4,4,3,3,200,85,-4.2,1022.3,-24.5,0,"N",4.3,"Huairou"
7,2013,3,1,6,3,6,33,7,300,82,-5.9,1023.1,-21.9,0,"WNW",0.6,"Huairou"
8,2013,3,1,7,3,10,13,13,400,71,-2.7,1024.3,-23.2,0,"NNE",3.4,"Huairou"
9,2013,3,1,8,3,13,34,38,800,45,-1.6,1025.2,-23.5,0,"NNE",4.6,"Huairou"
10,2013,3,1,9,17,36,50,28,700,60,-1.1,1025.4,-23.8,0,"NE",4.9,"Huairou"
11,2013,3,1,10,19,32,5,3,300,85,1,1025.1,-23.6,0,"ESE",2.7,"Huairou"
12,2013,3,1,11,10,11,3,NA,300,87,2.4,1024.5,-22.5,0,"SE",3.9,"Huairou"
13,2013,3,1,12,3,6,5,3,300,86,3.9,1023.8,-21.3,0,"W",1.9,"Huairou"
14,2013,3,1,13,3,6,7,3,300,87,4.7,1022.8,-22.4,0,"S",3.3,"Huairou"
15,2013,3,1,14,3,6,9,6,300,87,5.7,1022.3,-22.6,0,"NW",1.9,"Huairou"
16,2013,3,1,15,3,3,4,3,200,89,5.4,1022.7,-22.8,0,"NE",3.1,"Huairou"
17,2013,3,1,16,3,6,16,6,300,86,4.6,1022.7,-22.5,0,"NE",3.2,"Huairou"
18,2013,3,1,17,4,10,13,12,300,80,3.4,1023.2,-21.7,0,"N",2.8,"Huairou"
